PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
broSc,r1bq3r/p1p2kbN/1pPp2n1/1P1Pp2Q/P3Pp2/2N4P/5PP1/R1B2RK1 w - - 3 23,c1f4 e5f4 h7g5 d8g5 h5g5 g7c3 h3h4 c3f6,2955,117,88,218,advantage hangingPiece middlegame veryLong,https://lichess.org/eRaISux4#45,
PRWlD,8/8/1k6/1r2R3/5PKP/6P1/8/8 w - - 0 56,e5c5 b6c5 g4f5 c5d6 f5g6 d6e7 h4h5 e7f8 g3g4 b5b4,2954,113,88,233,crushing discoveredAttack endgame hangingPiece rookEndgame veryLong,https://lichess.org/oy9Y39dX#111,
YLIrc,3b4/8/p4P2/1p2K3/6N1/1k6/7P/8 b - - 0 51,d8f6 g4f6 b3c4 f6e4 a6a5 e4d6,2954,110,89,276,crushing endgame hangingPiece long quietMove,https://lichess.org/nCi495WI/black#102,
B3WmV,8/8/4n3/3pP1p1/2kP2P1/4KN2/8/8 w - - 11 50,f3g5 e6g5 e3f4 g5e6 f4f5 e6c7,2953,117,90,1378,crushing defensiveMove endgame hangingPiece knightEndgame long,https://lichess.org/8UjkOWoj#99,
iinLz,r3qrk1/2p1n1bp/3p2pB/2nPp3/1p2P1P1/5PN1/PP1QN3/1K1R3R b - - 1 20,a8a2 b1a2 e8a4 a2b1 f8a8 d2g5 g7h6 g5h6,2953,109,87,640,advantage hangingPiece middlegame veryLong,https://lichess.org/mDUlRC6b/black#40,
lgjjS,r2q1rk1/pp3ppp/3bp3/3bN1Pn/3p1P1P/2PB4/PP2Q3/R1B1K1R1 b Q - 0 18,d4c3 e2h5 g7g6 h5e2,2952,114,84,530,advantage defensiveMove hangingPiece master middlegame short,https://lichess.org/MWtNs6El/black#36,Caro-Kann_Defense Caro-Kann_Defense_Two_Knights_Attack
y4cAl,R7/6pk/P4p1p/2b4P/2K3P1/r4N2/8/8 b - - 16 55,a3f3 c4c5 f6f5 a8b8 f3a3 c5b6 f5g4 a6a7,2952,127,90,1832,advancedPawn crushing endgame hangingPiece quietMove veryLong,https://lichess.org/Mw5Er5Hv/black#110,
PaA4q,3r1r2/pR3pk1/2p1p1p1/6Np/3PQn1P/2P2P2/3K1P2/q6R b - - 7 28,a1h1 e4f4 h1a1 g5f7 a1b2 b7b2,2950,115,87,516,crushing hangingPiece long middlegame,https://lichess.org/esQUF5hH/black#56,
nrbex,8/p1r5/8/1P6/P1P5/1K6/5pk1/5R2 w - - 1 51,f1f2 g2f2 a4a5 c7c8 a5a6 f2e3,2950,96,81,151,crushing defensiveMove endgame hangingPiece long rookEndgame,https://lichess.org/x6I17KhN#101,
Lqv30,2q5/1BP2pk1/p5p1/8/1P1p2n1/P5Pp/4PP1K/2RR4 w - - 2 35,h2g1 c8b7 f2f3 b7b5 c7c8q b5e2 c8c2 e2e3 g1f1 e3f3,2948,114,90,1915,crushing endgame hangingPiece veryLong,https://lichess.org/jDJcz2y0#69,
